Resource_ID,Title,Description,Subject,Difficulty_Level,Resource_Type,Keywords,Author
R0050,World History Overview,A beginner-friendly overview with interactive sessions.,Humanities,Intermediate,Video,"biology, anatomy, cells",Dr. P. Adams
R0051,Introduction to Quantum Mechanics,Advanced discussions with practical problem-solving tasks.,Science,Advanced,Article,"biology, anatomy, cells",Dr. K. Martinez
R0052,Basics of Human Anatomy,A beginner-friendly overview with interactive sessions.,Technology,Advanced,Article,"history, civilizations, warfare",Dr. J. Wilson
R0053,Electrical Engineering Principles,An intermediate course focusing on core concepts.,Humanities,Intermediate,Article,"electric circuits, voltage, current",Dr. K. Martinez
R0054,Philosophy and Ethics Introduction,Fundamentals combined with hands-on project activities.,Humanities,Beginner,Article,"history, civilizations, warfare",Prof. B. Clark
R0055,Database Design and Management,Advanced discussions with practical problem-solving tasks.,Science,Advanced,Article,"ethics, philosophy, morality",Dr. A. Smith
R0056,Climate Change and Sustainability,Well-structured learning with quizzes and assignments.,Technology,Advanced,Quiz,"biology, anatomy, cells",Dr. K. Martinez
R0057,Electrical Engineering Principles,A beginner-friendly overview with interactive sessions.,Technology,Advanced,Video,"electric circuits, voltage, current",Dr. M. Carter
R0058,The Fundamentals of Robotics,Detailed study material with real-world examples.,Science,Beginner,Quiz,"databases, SQL, data storage",Prof. B. Clark
R0059,Climate Change and Sustainability,Advanced discussions with practical problem-solving tasks.,Technology,Advanced,Article,"machine learning, AI, neural networks",Prof. L. Johnson
R0060,Philosophy and Ethics Introduction,An intermediate course focusing on core concepts.,Technology,Intermediate,Article,"physics, quantum mechanics, particles",Prof. B. Clark
R0061,Creative Writing Workshop,A beginner-friendly overview with interactive sessions.,Others,Intermediate,Video,"ethics, philosophy, morality",Dr. M. Carter
R0062,Creative Writing Workshop,An intermediate course focusing on core concepts.,Humanities,Intermediate,Quiz,"robotics, automation, sensors",Dr. A. Smith
R0063,Creative Writing Workshop,Fundamentals combined with hands-on project activities.,Science,Advanced,Quiz,"physics, quantum mechanics, particles",Ms. T. Lewis
R0064,Introduction to Quantum Mechanics,An intermediate course focusing on core concepts.,Humanities,Intermediate,Quiz,"environment, climate change, sustainability",Dr. M. Carter
R0065,Electrical Engineering Principles,A beginner-friendly overview with interactive sessions.,Technology,Beginner,Quiz,"electric circuits, voltage, current",Dr. J. Wilson
R0066,Electrical Engineering Principles,Detailed study material with real-world examples.,Humanities,Intermediate,Video,"physics, quantum mechanics, particles",Prof. L. Johnson
R0067,The Fundamentals of Robotics,Well-structured learning with quizzes and assignments.,Others,Intermediate,Video,"ethics, philosophy, morality",Ms. T. Lewis
R0068,Introduction to Quantum Mechanics,A beginner-friendly overview with interactive sessions.,Technology,Beginner,Article,"databases, SQL, data storage",Dr. M. Carter
R0069,Philosophy and Ethics Introduction,An intermediate course focusing on core concepts.,Humanities,Beginner,Article,"poetry, creative writing, storytelling",Dr. A. Smith
R0070,The Fundamentals of Robotics,Well-structured learning with quizzes and assignments.,Science,Advanced,Article,"robotics, automation, sensors",Ms. T. Lewis
R0071,Introduction to Machine Learning,An intermediate course focusing on core concepts.,Humanities,Intermediate,Video,"robotics, automation, sensors",Prof. B. Clark
R0072,Introduction to Quantum Mechanics,Well-structured learning with quizzes and assignments.,Science,Advanced,Video,"robotics, automation, sensors",Prof. L. Johnson
R0073,Electrical Engineering Principles,Detailed study material with real-world examples.,Others,Intermediate,Article,"machine learning, AI, neural networks",Dr. J. Wilson
R0074,Philosophy and Ethics Introduction,Advanced discussions with practical problem-solving tasks.,Technology,Advanced,Quiz,"machine learning, AI, neural networks",Dr. A. Smith
R0075,Basics of Human Anatomy,Detailed study material with real-world examples.,Humanities,Advanced,Article,"history, civilizations, warfare",Dr. A. Smith
R0076,World History Overview,Detailed study material with real-world examples.,Others,Advanced,Quiz,"ethics, philosophy, morality",Dr. M. Carter
R0077,Basics of Human Anatomy,Detailed study material with real-world examples.,Science,Intermediate,Video,"physics, quantum mechanics, particles",Dr. M. Carter
R0078,The Fundamentals of Robotics,Detailed study material with real-world examples.,Science,Intermediate,Video,"electric circuits, voltage, current",Dr. E. Davis
R0079,Introduction to Machine Learning,Well-structured learning with quizzes and assignments.,Others,Intermediate,Quiz,"physics, quantum mechanics, particles",Ms. R. Lee
R0080,Philosophy and Ethics Introduction,An intermediate course focusing on core concepts.,Others,Beginner,Quiz,"environment, climate change, sustainability",Prof. B. Clark
R0081,Database Design and Management,Detailed study material with real-world examples.,Others,Intermediate,Video,"biology, anatomy, cells",Dr. P. Adams
R0082,Creative Writing Workshop,Advanced discussions with practical problem-solving tasks.,Humanities,Intermediate,Video,"ethics, philosophy, morality",Dr. M. Carter
R0083,The Fundamentals of Robotics,Fundamentals combined with hands-on project activities.,Humanities,Beginner,Article,"ethics, philosophy, morality",Dr. E. Davis
R0084,Introduction to Machine Learning,Fundamentals combined with hands-on project activities.,Others,Advanced,Video,"poetry, creative writing, storytelling",Prof. L. Johnson
R0085,Electrical Engineering Principles,Fundamentals combined with hands-on project activities.,Humanities,Intermediate,Video,"ethics, philosophy, morality",Prof. L. Johnson
R0086,Introduction to Quantum Mechanics,Well-structured learning with quizzes and assignments.,Science,Advanced,Article,"electric circuits, voltage, current",Ms. R. Lee
R0087,Introduction to Quantum Mechanics,A beginner-friendly overview with interactive sessions.,Science,Advanced,Article,"biology, anatomy, cells",Dr. A. Smith
R0088,Basics of Human Anatomy,Well-structured learning with quizzes and assignments.,Humanities,Beginner,Video,"electric circuits, voltage, current",Dr. P. Adams
R0089,World History Overview,Advanced discussions with practical problem-solving tasks.,Others,Intermediate,Video,"electric circuits, voltage, current",Dr. K. Martinez
R0090,Climate Change and Sustainability,Well-structured learning with quizzes and assignments.,Others,Intermediate,Quiz,"robotics, automation, sensors",Dr. K. Martinez
R0091,Basics of Human Anatomy,Well-structured learning with quizzes and assignments.,Humanities,Advanced,Quiz,"history, civilizations, warfare",Prof. B. Clark
R0092,The Fundamentals of Robotics,Fundamentals combined with hands-on project activities.,Technology,Beginner,Video,"history, civilizations, warfare",Dr. M. Carter
R0093,Introduction to Machine Learning,A beginner-friendly overview with interactive sessions.,Humanities,Beginner,Article,"biology, anatomy, cells",Prof. L. Johnson
R0094,Database Design and Management,Detailed study material with real-world examples.,Humanities,Intermediate,Article,"history, civilizations, warfare",Ms. R. Lee
R0095,Introduction to Quantum Mechanics,Well-structured learning with quizzes and assignments.,Others,Beginner,Article,"history, civilizations, warfare",Dr. A. Smith
R0096,Philosophy and Ethics Introduction,Fundamentals combined with hands-on project activities.,Science,Intermediate,Video,"poetry, creative writing, storytelling",Dr. E. Davis
R0097,Climate Change and Sustainability,Detailed study material with real-world examples.,Technology,Advanced,Article,"physics, quantum mechanics, particles",Prof. L. Johnson
R0098,World History Overview,A beginner-friendly overview with interactive sessions.,Science,Intermediate,Quiz,"environment, climate change, sustainability",Ms. R. Lee
R0099,Basics of Human Anatomy,Advanced discussions with practical problem-solving tasks.,Humanities,Intermediate,Article,"poetry, creative writing, storytelling",Dr. P. Adams
R0100,Climate Change and Sustainability,An intermediate course focusing on core concepts.,Science,Advanced,Article,"electric circuits, voltage, current",Ms. T. Lewis
R0101,Electrical Engineering Principles,An intermediate course focusing on core concepts.,Technology,Beginner,Quiz,"environment, climate change, sustainability",Ms. T. Lewis
R0102,The Fundamentals of Robotics,A beginner-friendly overview with interactive sessions.,Science,Intermediate,Article,"biology, anatomy, cells",Dr. K. Martinez
R0103,Electrical Engineering Principles,Advanced discussions with practical problem-solving tasks.,Others,Advanced,Article,"history, civilizations, warfare",Prof. L. Johnson
R0104,Philosophy and Ethics Introduction,Advanced discussions with practical problem-solving tasks.,Others,Advanced,Video,"robotics, automation, sensors",Prof. B. Clark
R0105,Electrical Engineering Principles,Detailed study material with real-world examples.,Humanities,Advanced,Video,"history, civilizations, warfare",Dr. J. Wilson
R0106,Climate Change and Sustainability,Fundamentals combined with hands-on project activities.,Science,Beginner,Video,"ethics, philosophy, morality",Dr. J. Wilson
R0107,Climate Change and Sustainability,Advanced discussions with practical problem-solving tasks.,Technology,Beginner,Video,"electric circuits, voltage, current",Dr. M. Carter
R0108,Introduction to Quantum Mechanics,An intermediate course focusing on core concepts.,Technology,Advanced,Quiz,"databases, SQL, data storage",Dr. J. Wilson
R0109,Creative Writing Workshop,Detailed study material with real-world examples.,Others,Intermediate,Quiz,"environment, climate change, sustainability",Dr. A. Smith
R0110,Creative Writing Workshop,Advanced discussions with practical problem-solving tasks.,Others,Advanced,Quiz,"environment, climate change, sustainability",Dr. E. Davis
R0111,Philosophy and Ethics Introduction,Detailed study material with real-world examples.,Technology,Advanced,Quiz,"electric circuits, voltage, current",Dr. A. Smith
R0112,World History Overview,Detailed study material with real-world examples.,Others,Advanced,Quiz,"databases, SQL, data storage",Dr. M. Carter
R0113,Database Design and Management,An intermediate course focusing on core concepts.,Technology,Intermediate,Quiz,"physics, quantum mechanics, particles",Dr. E. Davis
R0114,Electrical Engineering Principles,Advanced discussions with practical problem-solving tasks.,Technology,Intermediate,Article,"physics, quantum mechanics, particles",Dr. A. Smith
R0115,Basics of Human Anatomy,Well-structured learning with quizzes and assignments.,Humanities,Beginner,Quiz,"electric circuits, voltage, current",Dr. K. Martinez
R0116,Database Design and Management,Advanced discussions with practical problem-solving tasks.,Humanities,Advanced,Quiz,"databases, SQL, data storage",Dr. A. Smith
R0117,Basics of Human Anatomy,Advanced discussions with practical problem-solving tasks.,Science,Beginner,Quiz,"machine learning, AI, neural networks",Dr. J. Wilson
R0118,Electrical Engineering Principles,A beginner-friendly overview with interactive sessions.,Technology,Beginner,Article,"poetry, creative writing, storytelling",Ms. T. Lewis
R0119,Philosophy and Ethics Introduction,Advanced discussions with practical problem-solving tasks.,Technology,Intermediate,Article,"environment, climate change, sustainability",Ms. T. Lewis
R0120,World History Overview,Advanced discussions with practical problem-solving tasks.,Science,Advanced,Video,"electric circuits, voltage, current",Dr. M. Carter
R0121,Climate Change and Sustainability,Fundamentals combined with hands-on project activities.,Technology,Advanced,Article,"environment, climate change, sustainability",Dr. P. Adams
R0122,Introduction to Quantum Mechanics,Fundamentals combined with hands-on project activities.,Technology,Advanced,Video,"ethics, philosophy, morality",Ms. R. Lee
R0123,Introduction to Quantum Mechanics,A beginner-friendly overview with interactive sessions.,Science,Beginner,Article,"biology, anatomy, cells",Ms. R. Lee
R0124,Introduction to Quantum Mechanics,An intermediate course focusing on core concepts.,Others,Beginner,Video,"electric circuits, voltage, current",Prof. L. Johnson
R0125,Electrical Engineering Principles,A beginner-friendly overview with interactive sessions.,Science,Advanced,Video,"environment, climate change, sustainability",Dr. J. Wilson
R0126,Introduction to Machine Learning,Advanced discussions with practical problem-solving tasks.,Humanities,Beginner,Article,"robotics, automation, sensors",Ms. R. Lee
R0127,Basics of Human Anatomy,Well-structured learning with quizzes and assignments.,Science,Beginner,Quiz,"electric circuits, voltage, current",Dr. M. Carter
R0128,World History Overview,Advanced discussions with practical problem-solving tasks.,Humanities,Advanced,Video,"history, civilizations, warfare",Dr. M. Carter
R0129,The Fundamentals of Robotics,Fundamentals combined with hands-on project activities.,Science,Intermediate,Article,"machine learning, AI, neural networks",Dr. P. Adams
R0130,Introduction to Machine Learning,Advanced discussions with practical problem-solving tasks.,Others,Beginner,Video,"biology, anatomy, cells",Dr. A. Smith
R0131,Climate Change and Sustainability,Fundamentals combined with hands-on project activities.,Others,Advanced,Video,"history, civilizations, warfare",Dr. J. Wilson
R0132,Electrical Engineering Principles,A beginner-friendly overview with interactive sessions.,Others,Advanced,Article,"history, civilizations, warfare",Ms. R. Lee
R0133,Database Design and Management,Detailed study material with real-world examples.,Science,Beginner,Video,"robotics, automation, sensors",Dr. M. Carter
R0134,Introduction to Quantum Mechanics,Well-structured learning with quizzes and assignments.,Technology,Intermediate,Video,"electric circuits, voltage, current",Prof. L. Johnson
R0135,Climate Change and Sustainability,A beginner-friendly overview with interactive sessions.,Technology,Intermediate,Quiz,"environment, climate change, sustainability",Prof. L. Johnson
R0136,Philosophy and Ethics Introduction,Fundamentals combined with hands-on project activities.,Technology,Beginner,Article,"physics, quantum mechanics, particles",Prof. B. Clark
R0137,Introduction to Machine Learning,Fundamentals combined with hands-on project activities.,Technology,Intermediate,Quiz,"poetry, creative writing, storytelling",Dr. E. Davis
R0138,Climate Change and Sustainability,Advanced discussions with practical problem-solving tasks.,Science,Intermediate,Video,"ethics, philosophy, morality",Prof. B. Clark
R0139,World History Overview,Detailed study material with real-world examples.,Humanities,Intermediate,Video,"physics, quantum mechanics, particles",Prof. L. Johnson
R0140,Introduction to Quantum Mechanics,Detailed study material with real-world examples.,Science,Beginner,Quiz,"poetry, creative writing, storytelling",Dr. J. Wilson
R0141,Creative Writing Workshop,Fundamentals combined with hands-on project activities.,Humanities,Advanced,Article,"physics, quantum mechanics, particles",Dr. A. Smith
R0142,Basics of Human Anatomy,Advanced discussions with practical problem-solving tasks.,Science,Intermediate,Quiz,"machine learning, AI, neural networks",Ms. R. Lee
R0143,Climate Change and Sustainability,Detailed study material with real-world examples.,Humanities,Beginner,Quiz,"databases, SQL, data storage",Prof. L. Johnson
R0144,Creative Writing Workshop,Detailed study material with real-world examples.,Others,Beginner,Article,"biology, anatomy, cells",Ms. R. Lee
R0145,World History Overview,Detailed study material with real-world examples.,Technology,Intermediate,Video,"databases, SQL, data storage",Dr. P. Adams
R0146,Climate Change and Sustainability,Advanced discussions with practical problem-solving tasks.,Science,Advanced,Quiz,"electric circuits, voltage, current",Dr. K. Martinez
R0147,Creative Writing Workshop,Advanced discussions with practical problem-solving tasks.,Technology,Advanced,Quiz,"electric circuits, voltage, current",Dr. E. Davis
R0148,World History Overview,Well-structured learning with quizzes and assignments.,Science,Intermediate,Article,"history, civilizations, warfare",Dr. K. Martinez
R0149,Basics of Human Anatomy,Detailed study material with real-world examples.,Others,Advanced,Article,"electric circuits, voltage, current",Ms. T. Lewis
R0150,Introduction to Quantum Mechanics,An intermediate course focusing on core concepts.,Technology,Advanced,Video,"environment, climate change, sustainability",Dr. K. Martinez
R0151,Introduction to Machine Learning,Detailed study material with real-world examples.,Technology,Beginner,Article,"robotics, automation, sensors",Prof. B. Clark
R0152,Climate Change and Sustainability,Well-structured learning with quizzes and assignments.,Science,Intermediate,Article,"poetry, creative writing, storytelling",Dr. J. Wilson
R0153,Basics of Human Anatomy,An intermediate course focusing on core concepts.,Science,Advanced,Article,"ethics, philosophy, morality",Dr. K. Martinez
R0154,World History Overview,An intermediate course focusing on core concepts.,Science,Intermediate,Quiz,"ethics, philosophy, morality",Dr. M. Carter
R0155,Climate Change and Sustainability,Detailed study material with real-world examples.,Humanities,Beginner,Article,"history, civilizations, warfare",Ms. R. Lee
R0156,Electrical Engineering Principles,An intermediate course focusing on core concepts.,Science,Beginner,Article,"history, civilizations, warfare",Dr. J. Wilson
R0157,Electrical Engineering Principles,Well-structured learning with quizzes and assignments.,Technology,Intermediate,Quiz,"electric circuits, voltage, current",Dr. E. Davis
R0158,Climate Change and Sustainability,A beginner-friendly overview with interactive sessions.,Humanities,Intermediate,Video,"physics, quantum mechanics, particles",Dr. P. Adams
R0159,Climate Change and Sustainability,A beginner-friendly overview with interactive sessions.,Humanities,Intermediate,Article,"history, civilizations, warfare",Ms. T. Lewis
R0160,Basics of Human Anatomy,An intermediate course focusing on core concepts.,Others,Intermediate,Video,"databases, SQL, data storage",Dr. E. Davis
R0161,The Fundamentals of Robotics,Detailed study material with real-world examples.,Technology,Advanced,Video,"machine learning, AI, neural networks",Dr. J. Wilson
R0162,Introduction to Quantum Mechanics,Fundamentals combined with hands-on project activities.,Science,Advanced,Article,"biology, anatomy, cells",Dr. M. Carter
R0163,Philosophy and Ethics Introduction,A beginner-friendly overview with interactive sessions.,Technology,Intermediate,Article,"environment, climate change, sustainability",Ms. R. Lee
R0164,Basics of Human Anatomy,Detailed study material with real-world examples.,Humanities,Advanced,Video,"physics, quantum mechanics, particles",Ms. T. Lewis
R0165,The Fundamentals of Robotics,Fundamentals combined with hands-on project activities.,Technology,Beginner,Quiz,"physics, quantum mechanics, particles",Prof. L. Johnson
R0166,Climate Change and Sustainability,An intermediate course focusing on core concepts.,Science,Beginner,Quiz,"biology, anatomy, cells",Dr. J. Wilson
R0167,Database Design and Management,Detailed study material with real-world examples.,Others,Intermediate,Article,"databases, SQL, data storage",Dr. P. Adams
R0168,Philosophy and Ethics Introduction,Advanced discussions with practical problem-solving tasks.,Others,Advanced,Video,"robotics, automation, sensors",Dr. M. Carter
R0169,The Fundamentals of Robotics,A beginner-friendly overview with interactive sessions.,Others,Beginner,Quiz,"ethics, philosophy, morality",Dr. A. Smith
R0170,Philosophy and Ethics Introduction,Advanced discussions with practical problem-solving tasks.,Humanities,Advanced,Video,"electric circuits, voltage, current",Prof. B. Clark
R0171,Introduction to Machine Learning,Well-structured learning with quizzes and assignments.,Science,Beginner,Article,"electric circuits, voltage, current",Dr. M. Carter
R0172,The Fundamentals of Robotics,Fundamentals combined with hands-on project activities.,Humanities,Advanced,Video,"biology, anatomy, cells",Ms. R. Lee
R0173,World History Overview,Well-structured learning with quizzes and assignments.,Science,Beginner,Video,"poetry, creative writing, storytelling",Prof. B. Clark
R0174,Basics of Human Anatomy,Fundamentals combined with hands-on project activities.,Others,Intermediate,Article,"robotics, automation, sensors",Dr. A. Smith
R0175,Climate Change and Sustainability,An intermediate course focusing on core concepts.,Science,Intermediate,Quiz,"poetry, creative writing, storytelling",Dr. J. Wilson
R0176,Database Design and Management,Detailed study material with real-world examples.,Humanities,Beginner,Video,"poetry, creative writing, storytelling",Dr. J. Wilson
R0177,Electrical Engineering Principles,Advanced discussions with practical problem-solving tasks.,Others,Advanced,Article,"history, civilizations, warfare",Prof. B. Clark
R0178,Database Design and Management,Well-structured learning with quizzes and assignments.,Technology,Advanced,Article,"poetry, creative writing, storytelling",Ms. T. Lewis
R0179,Introduction to Machine Learning,Well-structured learning with quizzes and assignments.,Others,Beginner,Video,"biology, anatomy, cells",Ms. T. Lewis
R0180,Electrical Engineering Principles,Well-structured learning with quizzes and assignments.,Science,Beginner,Article,"physics, quantum mechanics, particles",Dr. J. Wilson
R0181,Climate Change and Sustainability,Fundamentals combined with hands-on project activities.,Technology,Intermediate,Quiz,"electric circuits, voltage, current",Prof. L. Johnson
R0182,Philosophy and Ethics Introduction,A beginner-friendly overview with interactive sessions.,Science,Intermediate,Video,"physics, quantum mechanics, particles",Ms. T. Lewis
R0183,Introduction to Machine Learning,An intermediate course focusing on core concepts.,Others,Advanced,Article,"biology, anatomy, cells",Dr. A. Smith
R0184,Philosophy and Ethics Introduction,An intermediate course focusing on core concepts.,Science,Advanced,Video,"robotics, automation, sensors",Ms. R. Lee
R0185,Introduction to Machine Learning,Well-structured learning with quizzes and assignments.,Others,Intermediate,Article,"electric circuits, voltage, current",Dr. J. Wilson
R0186,Philosophy and Ethics Introduction,A beginner-friendly overview with interactive sessions.,Science,Intermediate,Quiz,"electric circuits, voltage, current",Dr. K. Martinez
R0187,Introduction to Quantum Mechanics,A beginner-friendly overview with interactive sessions.,Science,Beginner,Article,"robotics, automation, sensors",Dr. J. Wilson
R0188,Introduction to Quantum Mechanics,Fundamentals combined with hands-on project activities.,Science,Advanced,Article,"machine learning, AI, neural networks",Dr. E. Davis
R0189,Climate Change and Sustainability,An intermediate course focusing on core concepts.,Technology,Intermediate,Quiz,"ethics, philosophy, morality",Dr. K. Martinez
R0190,Database Design and Management,Detailed study material with real-world examples.,Humanities,Intermediate,Article,"databases, SQL, data storage",Prof. B. Clark
R0191,Philosophy and Ethics Introduction,Detailed study material with real-world examples.,Science,Beginner,Quiz,"machine learning, AI, neural networks",Dr. M. Carter
R0192,Creative Writing Workshop,Advanced discussions with practical problem-solving tasks.,Science,Advanced,Quiz,"machine learning, AI, neural networks",Dr. A. Smith
R0193,Basics of Human Anatomy,Detailed study material with real-world examples.,Science,Advanced,Article,"poetry, creative writing, storytelling",Prof. B. Clark
R0194,Basics of Human Anatomy,An intermediate course focusing on core concepts.,Others,Intermediate,Quiz,"robotics, automation, sensors",Ms. R. Lee
R0195,Electrical Engineering Principles,Fundamentals combined with hands-on project activities.,Humanities,Advanced,Article,"ethics, philosophy, morality",Prof. B. Clark
R0196,Electrical Engineering Principles,Advanced discussions with practical problem-solving tasks.,Others,Beginner,Quiz,"electric circuits, voltage, current",Dr. A. Smith
R0197,The Fundamentals of Robotics,Advanced discussions with practical problem-solving tasks.,Technology,Beginner,Video,"databases, SQL, data storage",Dr. A. Smith
R0198,Electrical Engineering Principles,Advanced discussions with practical problem-solving tasks.,Humanities,Intermediate,Quiz,"ethics, philosophy, morality",Dr. M. Carter
R0199,Philosophy and Ethics Introduction,Advanced discussions with practical problem-solving tasks.,Technology,Intermediate,Article,"biology, anatomy, cells",Dr. M. Carter
